nome,clube,elo,categoria
Jogador 001,Clube A,2400,ABS
Jogador 002,Clube B,2396,ABS
Jogador 003,Clube C,2392,ABS
Jogador 004,Clube D,2388,ABS
Jogador 005,Clube E,2384,ABS
Jogador 006,Clube F,2380,ABS
Jogador 007,Clube G,2376,ABS
Jogador 008,Clube H,2372,ABS
Jogador 009,Clube I,2368,ABS
Jogador 010,Clube J,2364,ABS
Jogador 011,Clube K,2360,ABS
Jogador 012,Clube L,2356,ABS
Jogador 013,Clube M,2352,ABS
Jogador 014,Clube N,2348,ABS
Jogador 015,Clube O,2344,ABS
Jogador 016,Clube A,2340,ABS
Jogador 017,Clube B,2336,ABS
Jogador 018,Clube C,2332,ABS
Jogador 019,Clube D,2328,ABS
Jogador 020,Clube E,2324,ABS
Jogador 021,Clube F,2320,ABS
Jogador 022,Clube G,2316,ABS
Jogador 023,Clube H,2312,ABS
Jogador 024,Clube I,2308,ABS
Jogador 025,Clube J,2304,ABS
Jogador 026,Clube K,2300,ABS
Jogador 027,Clube L,2296,ABS
Jogador 028,Clube M,2292,ABS
Jogador 029,Clube N,2288,ABS
Jogador 030,Clube O,2284,ABS
Jogador 031,Clube A,2280,ABS
Jogador 032,Clube B,2276,ABS
Jogador 033,Clube C,2272,ABS
Jogador 034,Clube D,2268,ABS
Jogador 035,Clube E,2264,ABS
Jogador 036,Clube F,2260,ABS
Jogador 037,Clube G,2256,ABS
Jogador 038,Clube H,2252,ABS
Jogador 039,Clube I,2248,ABS
Jogador 040,Clube J,2244,ABS
Jogador 041,Clube K,2240,ABS
Jogador 042,Clube L,2236,ABS
Jogador 043,Clube M,2232,ABS
Jogador 044,Clube N,2228,ABS
Jogador 045,Clube O,2224,ABS
Jogador 046,Clube A,2220,ABS
Jogador 047,Clube B,2216,ABS
Jogador 048,Clube C,2212,ABS
Jogador 049,Clube D,2208,ABS
Jogador 050,Clube E,2204,ABS
Jogador 051,Clube F,2200,ABS
Jogador 052,Clube G,2196,ABS
Jogador 053,Clube H,2192,ABS
Jogador 054,Clube I,2188,ABS
Jogador 055,Clube J,2184,ABS
Jogador 056,Clube K,2180,ABS
Jogador 057,Clube L,2176,ABS
Jogador 058,Clube M,2172,ABS
Jogador 059,Clube N,2168,ABS
Jogador 060,Clube O,2164,ABS
Jogador 061,Clube A,2160,ABS
Jogador 062,Clube B,2156,ABS
Jogador 063,Clube C,2152,ABS
Jogador 064,Clube D,2148,ABS
Jogador 065,Clube E,2144,ABS
Jogador 066,Clube F,2140,ABS
Jogador 067,Clube G,2136,ABS
Jogador 068,Clube H,2132,ABS
Jogador 069,Clube I,2128,ABS
Jogador 070,Clube J,2124,ABS
Jogador 071,Clube K,2120,ABS
Jogador 072,Clube L,2116,ABS
Jogador 073,Clube M,2112,ABS
Jogador 074,Clube N,2108,ABS
Jogador 075,Clube O,2104,ABS
Jogador 076,Clube A,2100,ABS
Jogador 077,Clube B,2096,ABS
Jogador 078,Clube C,2092,ABS
Jogador 079,Clube D,2088,ABS
Jogador 080,Clube E,2084,ABS
Jogador 081,Clube F,2080,ABS
Jogador 082,Clube G,2076,ABS
Jogador 083,Clube H,2072,ABS
Jogador 084,Clube I,2068,ABS
Jogador 085,Clube J,2064,ABS
Jogador 086,Clube K,2060,ABS
Jogador 087,Clube L,2056,ABS
Jogador 088,Clube M,2052,ABS
Jogador 089,Clube N,2048,ABS
Jogador 090,Clube O,2044,ABS
Jogador 091,Clube A,2040,ABS
Jogador 092,Clube B,2036,ABS
Jogador 093,Clube C,2032,ABS
Jogador 094,Clube D,2028,ABS
Jogador 095,Clube E,2024,ABS
Jogador 096,Clube F,2020,ABS
Jogador 097,Clube G,2016,ABS
Jogador 098,Clube H,2012,ABS
Jogador 099,Clube I,2008,ABS
Jogador 100,Clube J,2004,ABS
Jogador 101,Clube K,2000,ABS
Jogador 102,Clube L,1996,ABS
Jogador 103,Clube M,1992,ABS
Jogador 104,Clube N,1988,ABS
Jogador 105,Clube O,1984,ABS
Jogador 106,Clube A,1980,ABS
Jogador 107,Clube B,1976,ABS
Jogador 108,Clube C,1972,ABS
Jogador 109,Clube D,1968,ABS
Jogador 110,Clube E,1964,ABS
Jogador 111,Clube F,1960,ABS
Jogador 112,Clube G,1956,ABS
Jogador 113,Clube H,1952,ABS
Jogador 114,Clube I,1948,ABS
Jogador 115,Clube J,1944,ABS
Jogador 116,Clube K,1940,ABS
Jogador 117,Clube L,1936,ABS
Jogador 118,Clube M,1932,ABS
Jogador 119,Clube N,1928,ABS
Jogador 120,Clube O,1924,ABS
Jogador 121,Clube A,1920,ABS
